File,NTot
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part45.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part46.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part47.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part48.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part49.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part5.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part50.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part51.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part52.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part53.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part54.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part55.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part56.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part57.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part58.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part59.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part6.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part60.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part61.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part62.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part63.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part64.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part65.root,200000.0
